theta_res,gamma
0.014166351210084532,2.2651702734831733
0.3364021747482577,9.999999999999998
0.17350145954168203,2.3298380369422196
0.06028450767900811,1.0447390032662625
0.17777904426036442,3.7575610778858457
0.08484962357646982,5.477933515292071
0.1749417043623952,0.4404937502312015
0.009118391998890434,5.313418752968777
0.10616819593696879,5.113752700138724
0.050694627146502,1.3424206779199674
0.11980544582358989,3.9466536217123034
0.204872292011801,2.3946322954606023
0.1023960033374829,6.4948251407247675
0.21731635135488442,1.6081448819289572
0.11197571491858357,2.8568318279295735
0.03853570161563173,7.543231905381971
0.21674010583170455,6.384114372678579
0.28532849183219855,4.353072112721484
0.16196737855572824,0.6906820914373043
0.09277526232525227,4.132476763838118
0.17937031980943832,3.247630595145055
0.024053630745137455,6.129942724088917
0.09922374408434273,0.605523209826043
0.1689452949718569,4.534405553459006
0.39215775174251055,0.23720902730267832
0.32045527552688025,2.25837062941399
0.2746157550702764,5.162439547832532
0.25328427056760877,0.3248484332544461
0.2287007771358999,3.693047954586075
0.1711134518595778,5.98342919814228
0.18974228217041986,9.999999999999998
0.03097444625131406,0.6570816843066141
0.15773835945327286,1.2679105178435985
0.14474860678655374,8.925309299637243
0.270655827074445,2.824694444975046
0.047829033329109545,1.6032813533947134
0.314619227937692,0.8341317826275815
0.33521497618377655,0.11522524104741472
0.3229476442093324,4.2602853384206565
0.05316164591204268,3.5084359490753743
0.15961023243212075,7.195839012672023
0.07946122574099324,2.9807895526617543
0.14148645856172198,5.965619961118628
0.032777491864112177,2.7541497827166257
0.08657777647149212,1.4837453149247244
0.07093917455392727,6.119246104832582
0.36123894757371167,1.0134217637559901
5.675149015473486e-22,1.574115318425586
0.16010368662760138,2.785191143288795
0.12002955743705905,2.2212425489982595
0.3871911245263958,9.999999999998101
0.0678745516663706,0.63945835092605
0.3250631129209551,8.010995995051944
0.34550760772189165,0.24755719065741905
0.06392302794220629,1.5474968988204365
0.22041231932801703,1.2341463343630492
0.06957641378721231,2.5904752066411656
0.15923528546197147,2.0623751150741216
0.25341837824808267,3.0081314189035493
0.3922993761203749,4.936757151432224
0.11843551178493254,0.7668305637275503
0.016545119154376255,3.5732237302512613
0.2539333519723127,2.4822884463418875
0.33635354985331883,7.821245829448035
0.07809956431094255,4.582194730714192
0.31968457993600113,6.677648452456642
0.13542412163091552,0.39183057908493046
0.21491319141174234,3.9426720921350746
0.1385021786610348,3.101229864897909
0.20936509927413055,5.3847284598803595
0.28196058261001505,0.8915810593487117
0.39665575425794813,5.89312988364921
0.25878313084023113,0.6985531709934744
0.12435606973369169,1.57464498673762
0.2348529949356287,1.5260994917509754
0.19277367575067716,6.699071407887632
0.11093973395809635,1.0432042710624192
0.3138766904572694,7.259801717892013
0.08576894808817892,3.3011669855819252
0.19628505826164558,1.8971930375399504
0.2238324923236976,6.650328448883965
0.20578434555886704,0.3265665834473619
0.10119231385765967,4.299354023270768
0.2462282868034865,8.581430414762496
5.557024444519267e-15,0.1377609464139411
0.18788234373096843,1.2368918121628898
0.014293766858946852,0.9907902934392945
0.1981212849774156,0.05000000000008073
0.2207380521586865,1.0966078134374502
0.07501508274834952,2.4003760647871033
0.043842926036315455,0.4155097395178173
0.09110582652628317,1.5292282205230232
0.04542689933613188,3.0230537465527147
0.13084004287969628,1.4403622280790713
0.1446704686590437,0.9544058288550163
0.03645965511905836,1.4220951150691827
0.1691190148766543,0.432931607262299
0.09351639491463776,0.188975659942994
0.2645486829386194,0.06944794848147451
0.13837804100055834,2.98686382113941
0.23249745609207825,0.6999136572366801
0.11586986272557158,0.8945884337436537
0.3247198231756226,7.255075144706725
0.0945829210242276,4.822111350611802
0.22265728494487058,0.24201182006711905
0.03248250905995498,1.9308134178449858
0.2741845301970793,0.6138577842965113
0.053697223819130155,0.5893883150285791
0.1909025794039735,1.4281321826854079
0.02028650850297115,2.109578929378971
0.21997686229693286,0.8868082473029132
0.26088439122724205,1.2466943525481136
0.22722176565475286,2.1432329342596046
0.1042285788630582,1.8657956436384888
0.17083378162098806,0.30572485259292
0.13640689630177413,1.0079217722117313
0.07239566588420208,0.31080919939012036
0.053334713360541165,1.5311136140130734
0.1440302500674392,0.3161231977189401
0.11907222609136463,0.8230787897448375
