index,theta_res,gamma,rmse,r2,n_points
1,0.09974291656725649,1.4303076665923085,0.034220607240835615,0.9516499578921938,8
2,0.10168236105156657,0.8332432231645333,0.03247496213709515,0.9539369679907256,9
3,0.09983624418357592,0.5284969688809895,0.03347743635642494,0.9424478176295776,8
4,0.09832433304033406,0.5015030795691873,0.02835493462787242,0.9583581621810815,8
5,0.1762578390276793,0.8019548041650574,0.032375414985415026,0.932169477738575,8
6,0.17253406739435553,0.6169549673109838,0.031067147655604335,0.929707446791398,8
7,0.18927633877904543,0.9186229319438973,0.033163410025064025,0.9211106445917485,8
8,0.18367792927711016,0.6302477618984657,0.029373586292985178,0.9312668030184784,8
13,0.03853570161563173,7.543231905381971,0.08218492497545961,0.6378362318856448,9
14,0.40813788198087614,1.0,0.08619842330548594,3.2307490016592055e-14,7
15,0.022554116449087617,6.140239310004584,0.07472290674685844,0.7675337465669816,11
19,0.1521269199840659,0.668574321347344,0.03829198608319622,0.783655762309444,54
20,0.08657777647149212,1.4837453149247244,0.04879532305405094,0.8857499149938522,14
21,0.1909025794039735,1.4281321826854079,0.02890708625753122,0.9029060978603615,24
22,0.20359963832456532,0.721809503805276,0.017453165080602392,0.9640226712956198,9
23,0.12708721384865876,0.7230727045758507,0.02063865697448846,0.9665601804145587,22
24,0.32045527552688025,2.25837062941399,0.017540825858632016,0.9046373534646455,45
25,0.13837804100055834,2.98686382113941,0.02431918854596348,0.9233204764192097,17
26,0.11864407003737582,0.9976160539127478,0.020861805470632693,0.9692337813119185,18
27,0.22891074256303656,0.6379301697769003,0.03279983923723826,0.8134884145929774,24
28,0.22647856538409453,1.2692345615670764,0.036703579360297334,0.7799593442130679,27
29,0.25328427056760877,0.3248484332544461,0.013538003575877595,0.9783411428888421,14
30,0.11480064698691607,3.0879129235548137,0.03125391016529001,0.9200840740171652,64
31,0.17937031980943832,3.247630595145055,0.04342135527618173,0.7549415304730522,52
32,0.11048371303806266,3.2868621334481722,0.021626375492764926,0.9682074875307886,68
33,0.11907222609136463,0.8230787897448375,0.037023440867743417,0.9248172010212734,14
34,0.1527809810127907,0.8860113078609915,0.03849913876488914,0.8967020726931074,14
35,0.11801713900972874,0.747557411189028,0.054443209377142976,0.8152997356155158,14
36,0.14257016464872366,0.7305022118761513,0.04312480701022471,0.8612829855912603,14
37,0.11843551178493254,0.7668305637275503,0.02781580696133562,0.9563924326229603,13
38,0.1505282702327393,0.6542365441564842,0.04091312914209911,0.8808509256413602,14
39,0.20947148488074852,2.366942465764475,0.04468377216942386,0.8355675851932405,6
40,0.2132210032228959,0.14467213089596898,0.029979239733492067,0.9212664181692896,12
41,0.20308458838147306,0.1643863147524728,0.028958622231378038,0.940157474107409,15
43,0.20388789066548357,0.08387492067311204,0.023839060659255205,0.9528608917537182,8
44,0.33291519269270003,0.4230260391262651,0.0065770077155845345,0.9865342869225799,6
45,0.12685806389543738,1.6813926842081728,0.031513308985068655,0.9448536417308984,7
46,0.2207380521586865,1.0966078134374502,0.028435875509356848,0.9213054967128507,6
47,0.13850633353875746,0.06364071410994361,0.03667676714937229,0.8814455526708277,7
48,0.12447232951019391,0.8387106215116507,0.02187015036169281,0.960106916650661,6
49,0.12027054827780982,0.5391220165384052,0.032246696910907625,0.919670584048193,6
50,0.1344204965844233,0.11616701895659898,0.03743397152392903,0.8785360687428967,7
51,0.09683487221367415,1.015837103658035,0.03887793317330226,0.8794217484145219,7
52,1.660460020655118e-14,0.947340371796179,0.04978145116531487,0.7828072384794245,6
53,1.660460020655118e-14,0.947340371796179,0.04978145116531487,0.7828072384794245,6
54,0.039258303056580866,0.13559742731347654,0.03816558167049055,0.9171803781991535,26
55,0.13609675776003063,1.8495286678339529,0.028874951271024112,0.9525897963389837,8
56,0.1042285788630582,1.8657956436384888,0.03384726899694867,0.9416470624475255,8
57,0.1014331089048906,1.7067864700531983,0.030229389485545308,0.9539326796253712,8
58,0.3250631129209551,8.010995995051944,0.012381272386233131,0.9612113866022182,32
59,0.07633824253541896,0.7844717360308535,0.0245248653117867,0.962464111126065,12
60,0.31968457993600113,6.677648452456642,0.019158496526042342,0.9067373571703853,12
61,0.25341837824808267,3.0081314189035493,0.027778546297979215,0.8708773721769031,12
62,0.22722176565475286,2.1432329342596046,0.05336187287955673,0.7280723150785398,11
63,0.20936509927413055,5.3847284598803595,0.03237828396913644,0.8988267041385058,9
64,0.19277367575067716,6.699071407887632,0.02605458861667075,0.9478565793665643,10
65,0.1711134518595778,5.98342919814228,0.02771424122244708,0.9474672957356136,10
66,0.2558097863036686,0.9669731745530031,0.053227127894831854,0.675682587441905,11
69,0.17777904426036442,3.7575610778858457,0.020660292509429235,0.9639878902304552,16
70,0.07501508274834952,2.4003760647871033,0.03194706300222216,0.9181058244953966,27
71,0.08573280569391259,3.576100647631437,0.032958690047346174,0.9243918444544394,27
72,0.39111616323296755,0.5614308063763597,0.03477624281686399,0.4337871977197446,638
73,0.36123894757371167,1.0134217637559901,0.04275848001447866,0.6051528576483471,1014
74,0.06957641378721231,2.5904752066411656,0.02652311323820207,0.9544379816215481,12
75,0.3229476442093324,4.2602853384206565,0.010453815255307308,0.9686380821722954,10
76,0.06176614693539408,2.5954769489230842,0.026693381944339664,0.9507371008437866,18
77,2.014869800511393e-20,0.36805534152741104,0.1142932845068527,0.4384428496304472,11
78,0.18974228217041986,9.999999999999998,0.028554895766669905,0.9232842105807189,26
